Invoice,,,Parts,,Labor,,Sublet,,HazMat & Fees,,Shop Supplies,,Discount,,Subtotal,,Tax,Total,Shop Name,Shop Identifier
Date,Number,URL,Taxed,Untaxed,Taxed,Untaxed,Taxed,Untaxed,Taxed,Untaxed,Taxed,Untaxed,Taxed,Untaxed,Taxed,Untaxed
01/19/2022,21674,https://autohousenwa.shop-ware.com/work_orders/48550537,444.96,0.00,966.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,1435.96,0.00,157.96,1593.92,AutoHouse Automotive,NWA
01/19/2022,21640,https://autohousenwa.shop-ware.com/work_orders/47900385,53.13,0.00,30.00,0.00,0.00,0.00,0.00,0.00,1.35,0.00,0.00,0.00,84.48,0.00,9.29,93.77,AutoHouse Automotive,NWA
01/19/2022,21678,https://autohousenwa.shop-ware.com/work_orders/48555071,0.00,0.00,120.00,0.00,0.00,0.00,0.00,0.00,5.40,0.00,0.00,0.00,125.40,0.00,13.79,139.19,AutoHouse Automotive,NWA
01/20/2022,21675,https://autohousenwa.shop-ware.com/work_orders/48551205,240.66,0.00,480.00,0.00,0.00,0.00,0.00,0.00,21.60,0.00,0.00,0.00,742.26,0.00,81.65,823.91,AutoHouse Automotive,NWA
01/20/2022,21658,https://autohousenwa.shop-ware.com/work_orders/48001353,944.53,0.00,954.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,1923.53,0.00,211.59,2135.12,AutoHouse Automotive,NWA
01/20/2022,21677,https://autohousenwa.shop-ware.com/work_orders/48554427,244.46,0.00,660.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,929.46,0.00,102.24,1031.70,AutoHouse Automotive,NWA
01/20/2022,21643,https://autohousenwa.shop-ware.com/work_orders/47902800,42.38,0.00,30.00,0.00,0.00,0.00,0.00,0.00,1.35,0.00,0.00,0.00,73.73,0.00,8.11,81.84,AutoHouse Automotive,NWA
01/20/2022,21478,https://autohousenwa.shop-ware.com/work_orders/45270708,423.76,0.00,504.00,0.00,0.00,0.00,0.00,0.00,22.68,0.00,0.00,0.00,950.44,0.00,104.55,1054.99,AutoHouse Automotive,NWA
01/21/2022,21632,https://autohousenwa.shop-ware.com/work_orders/47791595,37.78,0.00,120.00,0.00,0.00,0.00,0.00,0.00,5.40,0.00,0.00,0.00,163.18,0.00,17.95,181.13,AutoHouse Automotive,NWA
01/21/2022,21646,https://autohousenwa.shop-ware.com/work_orders/47909972,70.40,0.00,30.00,0.00,0.00,0.00,0.00,0.00,1.35,0.00,10.04,0.00,91.71,0.00,10.09,101.80,AutoHouse Automotive,NWA
